fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Type
0.21487605080774935,0.1279999925613406,0.21138210278980746,0.116564408473559,0.07475083330937987,0.15972222222222224,0.4055299539170507,0.1591127245806696,0.310077360348187,0.15730337135088351,0.21739131636640674,0.0
0.2892562260304347,0.08000000429153428,0.25203251835532275,0.2561349453629387,0.07641196005065529,0.10763888888888888,0.4400921658986175,0.2520740913600328,0.31782947455695254,0.13483146594157952,0.144927544244271,0.0
0.19834710108713555,0.12000000047683715,0.29268293392083805,0.25460122650592765,0.049833888872919924,0.12499999999999999,0.2857142857142857,0.2378011700208873,0.3953487684388559,0.11797753269888206,0.11594206303815224,0.0
0.20661159565145776,0.14399998865127603,0.2032520293685164,0.07055214067173815,0.06146179462641728,0.03472222222222222,0.2926267281105991,0.0943109487423257,0.19379841952533283,0.25842697080706817,0.4347826327328135,0.0
0.21487605080774935,0.039999996185302866,0.38211381424362967,0.015337422600606956,0.13787375467707258,0.13541666666666669,0.35023041474654376,0.10935407443852796,0.37984490966247497,0.07865169404688063,0.26086960728242325,0.0
0.1818181907745524,0.2000000047683714,0.21138210278980746,0.06901839987436806,0.06976744070917398,0.05208333333333333,0.26036866359447003,0.13558355625193386,0.3333333333333335,0.10674157162279119,0.17391302545039,0.0
0.42975208191148334,0.1279999925613406,0.4065040587370328,0.009202453926036823,0.06478405429715793,0.08680555555555555,0.23271889400921658,0.09006792742605896,0.37984490966247497,0.06741573297078976,0.6376811393893222,0.0
0.2644628211535294,0.10399999246597316,0.17886178487511326,0.06901839987436806,0.06478405429715793,0.12847222222222224,0.37327188940092165,0.14214063931559906,0.4806199917089491,0.15168539918427693,0.34782605090078,0.0
0.38016527215767265,0.08000000429153428,0.34146339867811437,0.06901839987436806,0.04485049627271402,0.02083333333333333,0.16359447004608296,0.13056918101986525,0.34108526272152373,0.16853931568409664,0.5362318860610678,0.0
0.23140496112033243,0.2719999812126166,0.2682926894274349,0.03374232862431735,0.04152824279016321,0.048611111111111105,0.18202764976958527,0.05535240298011601,0.43410841537980716,0.1629213435174901,0.7826086836335935,0.0
0.23966941627662403,0.08000000429153428,0.2439024449340317,0.08895705218053829,0.06478405429715793,0.13541666666666669,0.564516129032258,0.16335574589693636,0.4418603447679974,0.16853931568409664,0.28985508848854225,0.0
0.5289256226030434,0.12000000047683715,0.30081300734212907,0.02453987652664378,0.07973421972139594,0.04513888888888888,0.06912442396313365,0.1737707480983417,0.3953487684388559,0.15168539918427693,0.18840583516028775,1.0
0.25619836599723783,0.11199999647140516,0.22764227386191957,0.11042944528407864,0.06810631396789858,0.14583333333333334,0.2534562211981567,0.11822636880833315,0.3875968390506652,0.21348315998846012,0.507246404854949,0.0
